ROUTE_ID,노선명,순번,NODE_ID,ARS_ID,정류소명,X좌표,Y좌표
100100083,540,12,209000144,56076,삼신아파트,126.9509327,37.36740575
100100076,500,12,120000445,21361,호림박물관,126.9186189,37.48236721
100100068,420,12,122000187,23291,역삼럭키아파트.역삼월드메르디앙아파트,127.0387195,37.49183877
100100055,340,12,124000037,25137,고덕평생학습관.온조대왕체육관,127.1581417,37.55568841
100100077,501,12,119000073,20166,숭실대입구역,126.9537335,37.49646142
100100084,571,12,116000049,17135,구로시장,126.8849301,37.48779719
100100070,441,12,226000093,60119,교동,126.9646985,37.33598535
100100078,503,12,213000130,38112,철산푸르지오하늘채아파트,126.867954,37.47234369
100100056,341,12,124000358,25009,길동사거리.강동세무서,127.1366885,37.53458361
100100085,600,12,116000125,17215,세곡초등학교,126.8498423,37.50266835
100100071,461,12,123000295,24386,가락시장.가락몰,127.115874,37.491843
100100079,504,12,213000496,38105,모세로삼거리,126.8659286,37.48083063
100100086,601,12,115000893,16017,발산역,126.8376109,37.55857335
100100057,360,12,123000053,24142,잠실엘스아파트앞,127.0833905,37.51187062
100100080,505,12,213000227,38218,소하2동행정복지센터.광명동굴길,126.8795294,37.43387001
100100087,602,12,114000116,15219,양강중학교,126.8499936,37.52371103
100100061,370,12,124000007,25107,고덕천교차로,127.1711474,37.55632413
100100111,720,12,111000111,12199,연신초등학교,126.9287702,37.62562342
100100088,603,12,114000139,15242,신정1동우체국,126.861673,37.521953
115000009,N6002,12,161000329,92609,신불IC,126.4893196,37.45757563
116000004,660,12,116000633,17359,항동하버라인3단지,126.8227527,37.47900147
112900014,서대문02대,12,112900165,13700,인창중고,126.9641668,37.56466374
114000001,6649,12,116000607,17755,성락교회크리스천선교센터,126.882139,37.509412
114900001,양천01,12,114000008,15108,목동4단지상가.목동종합운동장,126.875115,37.53229799
115000010,N64,12,115000900,16397,마곡역,126.8268823,37.561222
112900015,서대문02소,12,112900163,13654,서대문사거리,126.9654575,37.56669519
113000002,452,12,204000132,48056,상원초등학교.양지동청소년문화 ,127.1619808,37.45566765
114900002,양천02,12,114000046,15148,월촌중학교.목동1단지,126.8820591,37.53795861
116000005,8561,12,118000203,19290,여의도지하차도입구,126.923253,37.523355
114900003,양천03,12,114900032,15510,대림.수정아파트,126.842443,37.51233834
116000006,703,12,219000177,36115,삼성아파트.중산마을8단지,126.782678,37.68823621
114900004,관악11,12,120000449,21366,성원홈아파트,126.9343,37.49020396
114900005,영등포13,12,118000221,19312,대림코오롱아파트,126.8943272,37.50710759
114900006,영등포12,12,118000096,19181,당산삼성아파트,126.898043,37.52863992
115900001,강서04,12,115900031,16552,증미역2번출구,126.8626081,37.55718046
113000003,8762,12,113000195,14289,월드컵파크5단지,126.8865178,37.58033328
113000004,9401-1,12,102000070,03164,순천향대학병원,127.0054994,37.53579346
113900001,마포17,12,102000083,03177,용마루고개(서울자동차고등학교),126.9584647,37.54063689
115000001,6021,12,101000246,02681,이비스엠버서더호텔,126.9826126,37.56460933
115900002,강서06,12,115000117,16214,우장산역,126.8361293,37.54980277
116900001,구로13,12,116000005,17005,구일역.중앙유통상가,126.8746047,37.49979748
116900002,구로12,12,116900293,17626,에덴맨션,126.8515402,37.49255523
113900002,마포03,12,113900128,14843,공덕동성당,126.9568867,37.54838123
113900003,마포12,12,113900092,14694,대흥세양아파트,126.944727,37.54484569
115000002,6707B,12,161000611,92701,인천공항T2-3층,126.4344306,37.46645715
115000005,6648,12,115000938,16387,마곡역교차로,126.8284359,37.55936753
115900003,강서02,12,115900090,16599,정은파크빌,126.8515067,37.5400282
116900003,구로10,12,116900117,17970,구일초등학교.구일고등학교,126.8743854,37.49346179
116900004,구로11,12,213000322,38538,광명국민체육센터,126.8653969,37.48700524
113900004,마포11,12,113900093,14712,마포전철역,126.9445498,37.53961835
113900005,마포02,12,113900064,14577,도화현대1차아파트,126.9554309,37.5404826
115900004,강서03,12,115900228,16475,곰달래아파트,126.8565275,37.52951501
116900005,구로14,12,116900070,17524,현대별장맨션타운4차.덕성교회,126.8265496,37.49815347
113900006,마포14,12,113900280,14992,기업은행.신촌연세병원,126.9334876,37.55316601
113900007,마포13,12,113900100,14743,산울림포스트극장,126.9305964,37.55464535
115000006,6019,12,115000903,16989,가양대교(가상),126.8585762,37.56545633
115900005,강서05,12,115900125,16937,수명산근린공원,126.8309217,37.55158209
116900006,구로07,12,116900020,17588,온수역,126.8238225,37.49203726
113900008,마포10,12,113900103,14746,엘지빌딩,126.953912,37.54833417
113900009,마포16,12,113900256,14659,마포한강아이파크아파트,126.9041145,37.55242313
115000007,654,12,115000896,16019,마곡역,126.8260719,37.55978956
116900007,구로09,12,116000061,17147,구로역.구로기계공구상가,126.8789985,37.50341729
113900010,마포07,12,113900235,14748,이랜드,126.9315366,37.54919918
115900006,강서01,12,115900072,16561,우체국,126.8458108,37.5442339
116900008,영등포01,12,118000579,19219,신풍역,126.9080214,37.49998322
113900012,마포06,12,112900050,13715,사천교,126.9180639,37.5680631
100100016,110A고려대,12,107000037,08127,종암사거리,127.031172,37.603607
100100300,6620,12,114000154,15257,목동8단지.한전,126.8683292,37.52018346
100000004,8001,12,101000009,02101,만리동고개,126.9626582,37.55178706
100000008,8321A,12,123000376,24468,풍납현대아파트,127.1193611,37.52875878
100100010,105,12,110000060,11160,서울과학기술대입구,127.0714657,37.62829138
